CAMINHAO,CICLOMOTOR,AUTOMOVEL,vl_industria,vl_industria_milhoes,log_caminhao,log_ciclomotor,log_automovel,log_industria
31,192,1099,13174.94,0.013174940000000001,3.4657359027997265,5.262690188904886,7.003065458786462,-4.329438738644777
21,218,962,2767.011,0.0027670109999999998,3.091042453358316,5.389071729816501,6.870053411798126,-5.889987602760603
21,218,962,28737.608,0.028737608,3.091042453358316,5.389071729816501,6.870053411798126,-3.5495486307441793
156,0,1355,15693.314,0.015693314,5.056245805348308,0.0,7.212294468500341,-4.1545205172045545
156,0,1355,11765.037,0.011765037,5.056245805348308,0.0,7.212294468500341,-4.4426231118863795
15,1,366,3545283.074,3.545283074,2.772588722239781,0.6931471805599453,5.905361848054571,1.2656180084181226
15,1,366,26564.448,0.026564448,2.772588722239781,0.6931471805599453,5.905361848054571,-3.6281814985159007
15,1,366,4534.872,0.0045348720000000006,2.772588722239781,0.6931471805599453,5.905361848054571,-5.395958420730677
39,0,212,16365.495,0.016365495,3.6888794541139363,0.0,5.3612921657094255,-4.112580124007062
199,4,2033,41938.917,0.041938917,5.298317366548036,1.6094379124341003,7.617759576608505,-3.171541076445492
31,11,492,10645.257,0.010645257,3.4657359027997265,2.4849066497880004,6.20050917404269,-4.542640838138085
98,4,685,4869.357,0.004869357,4.59511985013459,1.6094379124341003,6.530877627725885,-5.324793383458952
91,9,1142,5458.691,0.005458691,4.5217885770490405,2.302585092994046,7.04141166379481,-5.2105462615581555
44,0,331,1842.302,0.0018423019999999999,3.8066624897703196,0.0,5.805134968916488,-6.296739402361878
44,0,331,24474.154,0.024474153999999998,3.8066624897703196,0.0,5.805134968916488,-3.7101376570465314
140,20,2160,100779.421,0.10077942100000001,4.948759890378168,3.044522437723423,7.6783263565068856,-2.2948211009337256
140,20,2160,320169.975,0.320169975,4.948759890378168,3.044522437723423,7.6783263565068856,-1.1389032523352096
46,1,620,3784.025,0.003784025,3.8501476017100584,0.6931471805599453,6.431331081933479,-5.576967021049002
46,1,620,5157.761,0.005157761,3.8501476017100584,0.6931471805599453,6.431331081933479,-5.267252708385585
46,1,620,4351110.881,4.351110881,3.8501476017100584,0.6931471805599453,6.431331081933479,1.4704311874404914
86,5,833,3587.421,0.003587421,4.465908118654584,1.791759469228055,6.726233402358747,-5.630321719044785
70,15,903,6884.7,0.0068847,4.2626798770413155,2.772588722239781,6.806829360392176,-4.978453720735598
70,15,903,22998.541,0.022998541,4.2626798770413155,2.772588722239781,6.806829360392176,-3.772324499847667
34,0,383,2510.148,0.0025101480000000002,3.5553480614894135,0.0,5.950642552587727,-5.987413563433335
32,0,341,2945.993,0.002945993,3.4965075614664802,0.0,5.834810737062605,-5.827309337047712
86,2,754,4125.85,0.00412585,4.465908118654584,1.0986122886681096,6.626717749249025,-5.490483219817003
119,1,857,18520.8,0.0185208,4.787491742782046,0.6931471805599453,6.754604099487962,-3.988860854152771
13,46,515,2056.455,0.002056455,2.639057329615259,3.8501476017100584,6.246106765481563,-6.186771652371281
377,126,4607,362659.151,0.362659151,5.934894195619588,4.844187086458591,8.435549202375727,-1.0142918637946785
